"batsmanname","total_runs","batting_avg","strike_rate"
"AbhishekSharma","745","24.83","136.45"
"AidenMarkram","775","32.29","131.36"
"AmbatiRayudu","689","22.23","135.90"
"AndreRussell","745","27.59","159.19"
"DavidMiller","864","43.20","137.58"
"DavidWarner","1137","37.90","133.45"
"DeepakHooda","695","19.86","127.99"
"DevduttPadikkal","1048","26.20","125.66"
"DineshKarthik","693","24.75","152.64"
"FafduPlessis","1831","43.60","140.85"
"GlennMaxwell","1214","34.69","161.44"
"HardikPandya","960","30.97","130.43"
"IshanKishan","1113","30.08","131.56"
"JosButtler","1509","41.92","146.93"
"KLRahul","1516","50.53","132.06"
"KrunalPandya","514","17.72","118.98"
"ManishPandey","540","25.71","116.88"
"MarcusStoinis","645","26.88","145.27"
"MayankAgarwal","907","27.48","132.60"
"MoeenAli","725","23.39","137.31"
"MShahrukhKhan","426","20.29","134.81"
"NicholasPooran","729","24.30","157.11"
"NitishRana","1157","29.67","134.85"
"PrithviShaw","815","25.47","153.20"
"QuintondeKock","948","33.86","135.62"
"RahulTripathi","1083","28.50","143.06"
"RavindraJadeja","533","31.35","137.73"
"RiyanParag","354","14.16","125.98"
"RohitSharma","981","22.81","127.07"
"RuturajGaikwad","1593","37.93","137.68"
"SanjuSamson","1304","32.60","144.57"
"ShikharDhawan","1392","39.77","128.77"
"ShimronHetmyer","854","40.67","157.27"
"ShivamDube","937","32.31","145.95"
"ShubmanGill","1851","40.24","139.07"
"SuryakumarYadav","1225","35.00","160.55"
"VenkateshIyer","956","28.12","130.25"
"ViratKohli","1385","33.78","127.06"
"WriddhimanSaha","819","23.40","119.39"
"YashasviJaiswal","1132","34.30","152.15"
