"bowlername","economy_rate","bowling_avg","dot_ball_percentage","total_runs_given"
"AndreRussell","10.29","18.23","34.49","638"
"AnrichNortje","8.35","24.77","41.19","768"
"ArshdeepSingh","8.59","27.11","36.58","1220"
"AveshKhan","8.38","23.72","41.65","1115"
"AxarPatel","7.11","31.30","35.23","939"
"BhuvneshwarKumar","7.88","33.62","42.48","1143"
"ChrisJordan","10.17","52.00","33.45","468"
"GlennMaxwell","7.88","32.83","35.43","394"
"HarpreetBrar","7.62","27.94","38.29","503"
"HarshalPatel","8.48","20.35","36.03","1323"
"JasonHolder","9.13","27.12","32.41","922"
"KagisoRabada","8.62","23.76","43.41","1069"
"KhaleelAhmed","8.35","26.43","43.61","793"
"KrunalPandya","7.46","35.13","34.76","843"
"LalitYadav","8.20","36.90","30.74","369"
"MoeenAli","7.06","23.86","35.60","501"
"MohammedShami","7.89","20.97","47.57","1405"
"MohammedSiraj","8.12","31.85","47.71","1242"
"RahulChahar","7.65","30.37","34.45","1063"
"RashidKhan","7.24","20.90","35.00","1317"
"RaviBishnoi","7.69","26.27","35.23","1077"
"RavichandranAshwin","7.53","35.61","31.38","1175"
"RavindraJadeja","7.46","27.41","32.84","1014"
"RileyMeredith","9.56","32.21","40.21","612"
"SandeepSharma","8.45","50.13","38.55","752"
"ShardulThakur","9.46","28.37","36.13","1220"
"SunilNarine","6.60","29.33","37.50","1056"
"TrentBoult","8.01","28.81","46.37","1210"
"UmranMalik","9.35","26.10","44.15","757"
"VarunChakravarthy","7.60","27.48","37.68","1209"
"WashingtonSundar","8.25","41.92","30.81","503"
"YuzvendraChahal","7.71","20.20","34.61","1333"
