"bowlername","total_wickets_taken"
"MohammedShami","67"
"YuzvendraChahal","66"
"HarshalPatel","65"
"RashidKhan","63"
"AveshKhan","47"
"ArshdeepSingh","45"
"KagisoRabada","45"
"VarunChakravarthy","44"
"ShardulThakur","43"
"TrentBoult","42"
"RaviBishnoi","41"
"MohammedSiraj","39"
"RavindraJadeja","37"
"SunilNarine","36"
"JaspritBumrah","36"
"AndreRussell","35"
"WaninduHasaranga","35"
"RahulChahar","35"
"JoshHazlewood","34"
"BhuvneshwarKumar","34"
"JasonHolder","34"
"RavichandranAshwin","33"
"PrasidhKrishna","31"
"AnrichNortje","31"
"KuldeepYadav","31"
"KhaleelAhmed","30"
"TNatarajan","30"
"DwayneBravo","30"
"AxarPatel","30"
"UmranMalik","29"
"MohitSharma","27"
"DeepakChahar","27"
"LockieFerguson","26"
"KrunalPandya","24"
"PiyushChawla","23"
"MustafizurRahman","23"
"TusharDeshpande","22"
"MoeenAli","21"
"MaheeshTheekshana","21"
"ChetanSakariya","20"
"MatheeshaPathirana","19"
"TimSouthee","19"
"SamCurran","19"
"RileyMeredith","19"
"MarcoJansen","19"
"HarpreetBrar","18"
"MohsinKhan","17"
"NathanEllis","17"
"UmeshYadav","17"
"PatCummins","16"
"ShivamMavi","16"
"MitchellMarsh","16"
"MukeshChoudhary","16"
"NoorAhmad","16"
"ChrisMorris","15"
"SandeepSharma","15"
"DanielSams","14"
"AlzarriJoseph","14"
"AkashMadhwal","14"
"JasonBehrendorff","14"
"YashThakur","13"
"MayankMarkande","13"
"YashDayal","13"
"ShahbazAhmed","12"
"AmitMishra","12"
"GlennMaxwell","12"
"WashingtonSundar","12"
"MarkWood","11"
"IshantSharma","11"
"MarcusStoinis","11"
"ObedMcCoy","11"
"HardikPandya","11"
"Naveen-ul-Haq","11"
"KarnSharma","10"
"MuruganAshwin","10"
"KumarKartikeya","10"
"SuyashSharma","10"
"LalitYadav","10"
"JaydevUnadkat","10"
"VijaykumarVyshak","9"
"ChrisJordan","9"
"KyleJamieson","9"
"DushmanthaChameera","9"
"WayneParnell","9"
"KieronPollard","9"
"LiamLivingstone","8"
"VaibhavArora","8"
"KuldeepSen","8"
"RahulTewatia","8"
"KrishnappaGowtham","8"
"AdamZampa","8"
"RishiDhawan","7"
"MukeshKumar","7"
"NathanCoulter-Nile","7"
"MitchellSantner","7"
"JoshLittle","7"
"JagadeeshaSuchith","7"
"KartikTyagi","6"
"CameronGreen","6"
"HarshitRana","6"
"DwainePretorius","6"
"AbhishekSharma","6"
"AkashDeep","6"
"MichaelBracewell","6"
"NavdeepSaini","6"
"FazalhaqFarooqi","6"
"TymalMills","6"
"OdeanSmith","6"
"RamandeepSingh","6"
"SaiKishore","6"
"ArshadKhan","5"
"AkashSingh","5"
"LungiNgidi","5"
"JamesNeesham","5"
"BasilThampi","5"
"ChrisWoakes","5"
"SiddarthKaul","5"
"HrithikShokeen","5"
"ShakibAlHasan","4"
"DavidWilley","4"
"AnukulRoy","4"
"KMAsif","4"
"MoisesHenriques","4"
"TomCurran","4"
"SimarjeetSingh","4"
"DanChristian","4"
"NitishRana","3"
"JhyeRichardson","3"
"SikandarRaza","3"
"RomarioShepherd","3"
"DeepakHooda","3"
"GeorgeGarton","3"
"VijayShankar","3"
"PradeepSangwan","3"
"ArjunTendulkar","3"
"AdamMilne","3"
"YudhvirSingh","3"
"DarshanNalkande","3"
"RajvardhanHangargekar","3"
"VenkateshIyer","3"
"JayantYadav","2"
"VarunAaron","2"
"AidenMarkram","2"
"ImranTahir","2"
"MujeebUrRahman","2"
"AndrewTye","2"
"GlennPhillips","2"
"MohammadNabi","2"
"RiyanParag","2"
"JofraArcher","2"
"KuldipYadav","2"
"AyushBadoni","2"
"AdilRashid","2"
"PrashantSolanki","2"
"FabianAllen","2"
"KulwantKhejroliya","2"
"AbdulSamad","1"
"MahipalLomror","1"
"PraveenDubey","1"
"SisandaMagala","1"
"ReeceTopley","1"
"ShreyasGopal","1"
"RovmanPowell","1"
"ShahbazNadeem","1"
"SeanAbbott","1"
"IshanPorel","1"
"LukmanMeriwala","1"
"MayankDagar","1"
"AkealHosein","1"
"KaneRichardson","1"
"DuanJansen","1"
"DewaldBrevis","1"
"TristanStubbs","1"
"DhawalKulkarni","0"
"JalajSaxena","0"
"TilakVarma","0"
"MohitRathee","0"
"RaghavGoyal","0"
"TabraizShamsi","0"
"ShreyasIyer","0"
"SanjayYadav","0"
"AmanHakimKhan","0"
"GurnoorBrar","0"
"BenStokes","0"
"RipalPatel","0"
"KyleMayers","0"
"DavidWiese","0"
"SandeepWarrier","0"
"ShivamDube","0"
"NitishKumarReddy","0"
"RasikhSalam","0"
"JoeRoot","0"
"VivrantSharma","0"
"ShashankSingh","0"
"SwapnilSingh","0"
"HimanshuSharma","0"
"HarbhajanSingh","0"
"YashasviJaiswal","0"
"DarylMitchell","0"
"MatthewShort","0"
"RohitSharma","0"
"KamleshNagarkoti","0"
